Designator,Mid X,Mid Y,Layer,Rotation
U1,10.0,10.0,Top,0
U2,12.0,10.0,Top,0
U3,14.0,10.0,Top,0
U4,16.0,10.0,Top,0
OPT1_1,18.0,10.0,Top,0
OPT1_2,20.0,10.0,Top,0
OPT2,22.0,10.0,Top,0
OPT3,24.0,10.0,Top,0
U5,26.0,10.0,Top,0
U6,28.0,10.0,Top,0
U7,30.0,10.0,Top,0
U8,32.0,10.0,Top,0
U9,34.0,10.0,Top,0
U10,36.0,10.0,Top,0
C1,38.0,10.0,Top,0
C2,40.0,10.0,Top,0
C3,42.0,10.0,Top,0
C4,44.0,10.0,Top,0
C5,46.0,10.0,Top,0
C6,48.0,10.0,Top,0
C7,50.0,10.0,Top,0
C8,52.0,10.0,Top,0
C9,54.0,10.0,Top,0
C10,56.0,10.0,Top,0
C11,58.0,10.0,Top,0
C12,60.0,10.0,Top,0
C13,62.0,10.0,Top,0
C14,64.0,10.0,Top,0
C15,66.0,10.0,Top,0
C16,68.0,10.0,Top,0
C17,70.0,10.0,Top,0
C18,72.0,10.0,Top,0
C19,74.0,10.0,Top,0
C20,76.0,10.0,Top,0
C21,78.0,10.0,Top,0
C22,80.0,10.0,Top,0
C23,82.0,10.0,Top,0
C24,84.0,10.0,Top,0
C25,86.0,10.0,Top,0
C26,88.0,10.0,Top,0
C27,90.0,10.0,Top,0
C28,92.0,10.0,Top,0
C29,94.0,10.0,Top,0
C30,96.0,10.0,Top,0
C31,98.0,10.0,Top,0
C32,100.0,10.0,Top,0
C33,102.0,10.0,Top,0
C34,104.0,10.0,Top,0
C35,106.0,10.0,Top,0
C36,108.0,10.0,Top,0
C37,10.0,12.0,Top,0
C38,12.0,12.0,Top,0
C39,14.0,12.0,Top,0
C40,16.0,12.0,Top,0
R1,18.0,12.0,Top,0
R2,20.0,12.0,Top,0
R3,22.0,12.0,Top,0
R4,24.0,12.0,Top,0
R5,26.0,12.0,Top,0
R6,28.0,12.0,Top,0
R7,30.0,12.0,Top,0
R8,32.0,12.0,Top,0
R9,34.0,12.0,Top,0
R10,36.0,12.0,Top,0
L1,38.0,12.0,Top,0
L2,40.0,12.0,Top,0
L3,42.0,12.0,Top,0
L4,44.0,12.0,Top,0
J1,46.0,12.0,Top,0
J2,48.0,12.0,Top,0
J3,50.0,12.0,Top,0
J4,52.0,12.0,Top,0
J5,54.0,12.0,Top,0
J6,56.0,12.0,Top,0
J7,58.0,12.0,Top,0
C41,60.0,12.0,Top,0
C42,62.0,12.0,Top,0
C43,64.0,12.0,Top,0
C44,66.0,12.0,Top,0
C45,68.0,12.0,Top,0
C46,70.0,12.0,Top,0
C47,72.0,12.0,Top,0
C48,74.0,12.0,Top,0
C49,76.0,12.0,Top,0
C50,78.0,12.0,Top,0
C51,80.0,12.0,Top,0
C52,82.0,12.0,Top,0
C53,84.0,12.0,Top,0
C54,86.0,12.0,Top,0
C55,88.0,12.0,Top,0
C56,90.0,12.0,Top,0
C57,92.0,12.0,Top,0
C58,94.0,12.0,Top,0
C59,96.0,12.0,Top,0
C60,98.0,12.0,Top,0
C61,100.0,12.0,Top,0
C62,102.0,12.0,Top,0
C63,104.0,12.0,Top,0
C64,106.0,12.0,Top,0
C65,108.0,12.0,Top,0
C66,10.0,14.0,Top,0
C67,12.0,14.0,Top,0
C68,14.0,14.0,Top,0
C69,16.0,14.0,Top,0
C70,18.0,14.0,Top,0
C71,20.0,14.0,Top,0
C72,22.0,14.0,Top,0
C73,24.0,14.0,Top,0
C74,26.0,14.0,Top,0
C75,28.0,14.0,Top,0
C76,30.0,14.0,Top,0
C77,32.0,14.0,Top,0
C78,34.0,14.0,Top,0
C79,36.0,14.0,Top,0
C80,38.0,14.0,Top,0
C81,40.0,14.0,Top,0
C82,42.0,14.0,Top,0
C83,44.0,14.0,Top,0
C84,46.0,14.0,Top,0
C85,48.0,14.0,Top,0
C86,50.0,14.0,Top,0
C87,52.0,14.0,Top,0
C88,54.0,14.0,Top,0
C89,56.0,14.0,Top,0
C90,58.0,14.0,Top,0
C91,60.0,14.0,Top,0
C92,62.0,14.0,Top,0
C93,64.0,14.0,Top,0
C94,66.0,14.0,Top,0
C95,68.0,14.0,Top,0
C96,70.0,14.0,Top,0
C97,72.0,14.0,Top,0
C98,74.0,14.0,Top,0
C99,76.0,14.0,Top,0
C100,78.0,14.0,Top,0
C101,80.0,14.0,Top,0
C102,82.0,14.0,Top,0
C103,84.0,14.0,Top,0
C104,86.0,14.0,Top,0
C105,88.0,14.0,Top,0
C106,90.0,14.0,Top,0
C107,92.0,14.0,Top,0
