Designator,Mid X,Mid Y,Layer,Rotation,Comment
U1,53.34,55.57,Top,0,TFLN_MZM_400G (DNP - Manual Align)
OPT1_1,15,5,Top,0,FC-TFLN-SMF28 (DNP - Manual Align)
OPT1_2,20,5,Top,0,FC-TFLN-SMF28 (DNP - Manual Align)
C1,11.8,10.0,Top,0,0603_0.1uF
C2,13.6,10.0,Top,0,0603_0.1uF
C3,15.4,10.0,Top,180,0603_0.1uF
C4,17.2,10.0,Top,90,0603_0.1uF
C5,19.0,10.0,Top,90,0603_0.1uF
C6,20.8,10.0,Top,90,0603_0.1uF
C7,22.6,10.0,Top,0,0603_0.1uF
C8,24.4,10.0,Top,0,0603_0.1uF
C9,26.2,10.0,Top,270,0603_0.1uF
C10,28.0,10.0,Top,0,0603_0.1uF
C11,29.8,10.0,Top,0,0603_0.1uF
C12,31.6,10.0,Top,0,0603_0.1uF
C13,33.4,10.0,Top,90,0603_0.1uF
C14,35.2,10.0,Top,90,0603_0.1uF
C15,37.0,10.0,Top,0,0603_0.1uF
C16,38.8,10.0,Top,90,0603_0.1uF
C17,40.6,10.0,Top,270,0603_0.1uF
C18,42.4,10.0,Top,90,0603_0.1uF
C19,44.2,10.0,Top,270,0603_0.1uF
C20,46.0,10.0,Top,180,0603_0.1uF
C21,47.8,10.0,Top,0,0603_0.1uF
C22,49.6,10.0,Top,90,0603_0.1uF
C23,51.4,10.0,Top,270,0603_0.1uF
C24,53.2,10.0,Top,180,0603_0.1uF
C25,55.0,10.0,Top,180,0603_0.1uF
C26,56.8,10.0,Top,90,0603_0.1uF
C27,58.6,10.0,Top,90,0603_0.1uF
C28,60.4,10.0,Top,180,0603_0.1uF
C29,62.2,10.0,Top,0,0603_0.1uF
C30,64.0,10.0,Top,0,0603_0.1uF
C31,65.8,10.0,Top,270,0603_0.1uF
C32,67.6,10.0,Top,0,0603_0.1uF
C33,69.4,10.0,Top,180,0603_0.1uF
C34,71.2,10.0,Top,180,0603_0.1uF
C35,73.0,10.0,Top,180,0603_0.1uF
C36,74.8,10.0,Top,0,0603_0.1uF
C37,76.6,10.0,Top,270,0603_0.1uF
C38,78.4,10.0,Top,0,0603_0.1uF
C39,80.2,10.0,Top,270,0603_0.1uF
C40,82.0,10.0,Top,0,0603_0.1uF
C41,83.8,10.0,Top,180,0603_0.1uF
C42,85.6,10.0,Top,180,0603_0.1uF
C43,87.4,10.0,Top,90,0603_0.1uF
C44,89.2,10.0,Top,0,0603_0.1uF
C45,91.0,10.0,Top,0,0603_0.1uF
C46,92.8,10.0,Top,90,0603_0.1uF
C47,94.6,10.0,Top,180,0603_0.1uF
C48,96.4,10.0,Top,0,0603_0.1uF
C49,98.2,10.0,Top,90,0603_0.1uF
C50,10.0,12.2,Top,0,0603_0.1uF
C51,11.8,12.2,Top,270,0603_0.1uF
C52,13.6,12.2,Top,180,0603_0.1uF
C53,15.4,12.2,Top,270,0603_0.1uF
C54,17.2,12.2,Top,180,0603_0.1uF
C55,19.0,12.2,Top,90,0603_0.1uF
C56,20.8,12.2,Top,180,0603_0.1uF
C57,22.6,12.2,Top,180,0603_0.1uF
C58,24.4,12.2,Top,90,0603_0.1uF
C59,26.2,12.2,Top,180,0603_0.1uF
C60,28.0,12.2,Top,0,0603_0.1uF
C61,29.8,12.2,Top,90,0603_0.1uF
C62,31.6,12.2,Top,90,0603_0.1uF
C63,33.4,12.2,Top,90,0603_0.1uF
C64,35.2,12.2,Top,270,0603_0.1uF
C65,37.0,12.2,Top,270,0603_0.1uF
C66,38.8,12.2,Top,180,0603_0.1uF
C67,40.6,12.2,Top,90,0603_0.1uF
C68,42.4,12.2,Top,180,0603_0.1uF
C69,44.2,12.2,Top,0,0603_0.1uF
C70,46.0,12.2,Top,90,0603_0.1uF
C71,47.8,12.2,Top,0,0603_0.1uF
C72,49.6,12.2,Top,180,0603_0.1uF
C73,51.4,12.2,Top,270,0603_0.1uF
C74,53.2,12.2,Top,180,0603_0.1uF
C75,55.0,12.2,Top,0,0603_0.1uF
C76,56.8,12.2,Top,90,0603_0.1uF
C77,58.6,12.2,Top,180,0603_0.1uF
C78,60.4,12.2,Top,90,0603_0.1uF
C79,62.2,12.2,Top,270,0603_0.1uF
C80,64.0,12.2,Top,270,0603_0.1uF
C81,65.8,12.2,Top,270,0603_0.1uF
C82,67.6,12.2,Top,90,0603_0.1uF
C83,69.4,12.2,Top,180,0603_0.1uF
C84,71.2,12.2,Top,90,0603_0.1uF
C85,73.0,12.2,Top,90,0603_0.1uF
C86,74.8,12.2,Top,180,0603_0.1uF
C87,76.6,12.2,Top,270,0603_0.1uF
C88,78.4,12.2,Top,270,0603_0.1uF
C89,80.2,12.2,Top,180,0603_0.1uF
C90,82.0,12.2,Top,90,0603_0.1uF
C91,83.8,12.2,Top,90,0603_0.1uF
C92,85.6,12.2,Top,270,0603_0.1uF
C93,87.4,12.2,Top,0,0603_0.1uF
C94,89.2,12.2,Top,0,0603_0.1uF
C95,91.0,12.2,Top,0,0603_0.1uF
C96,92.8,12.2,Top,90,0603_0.1uF
C97,94.6,12.2,Top,90,0603_0.1uF
C98,96.4,12.2,Top,270,0603_0.1uF
C99,98.2,12.2,Top,0,0603_0.1uF
C100,10.0,14.4,Top,270,0603_0.1uF
C101,11.8,14.4,Top,270,0603_0.1uF
C102,13.6,14.4,Top,270,0603_0.1uF
C103,15.4,14.4,Top,180,0603_0.1uF
C104,17.2,14.4,Top,0,0603_0.1uF
C105,19.0,14.4,Top,0,0603_0.1uF
C106,20.8,14.4,Top,180,0603_0.1uF
C107,22.6,14.4,Top,180,0603_0.1uF
C108,24.4,14.4,Top,0,0603_0.1uF
C109,26.2,14.4,Top,180,0603_0.1uF
C110,28.0,14.4,Top,270,0603_0.1uF
C111,29.8,14.4,Top,90,0603_0.1uF
C112,31.6,14.4,Top,270,0603_0.1uF
C113,33.4,14.4,Top,0,0603_0.1uF
C114,35.2,14.4,Top,180,0603_0.1uF
C115,37.0,14.4,Top,90,0603_0.1uF
C116,38.8,14.4,Top,0,0603_0.1uF
C117,40.6,14.4,Top,180,0603_0.1uF
C118,42.4,14.4,Top,90,0603_0.1uF
C119,44.2,14.4,Top,90,0603_0.1uF
C120,46.0,14.4,Top,180,0603_0.1uF
C121,47.8,14.4,Top,90,0603_0.1uF
C122,49.6,14.4,Top,0,0603_0.1uF
C123,51.4,14.4,Top,180,0603_0.1uF
C124,53.2,14.4,Top,270,0603_0.1uF
C125,55.0,14.4,Top,0,0603_0.1uF
C126,56.8,14.4,Top,0,0603_0.1uF
C127,58.6,14.4,Top,180,0603_0.1uF
C128,60.4,14.4,Top,180,0603_0.1uF
C129,62.2,14.4,Top,90,0603_0.1uF
C130,64.0,14.4,Top,0,0603_0.1uF
C131,65.8,14.4,Top,90,0603_0.1uF
C132,67.6,14.4,Top,0,0603_0.1uF
C133,69.4,14.4,Top,0,0603_0.1uF
C134,71.2,14.4,Top,270,0603_0.1uF
C135,73.0,14.4,Top,0,0603_0.1uF
C136,74.8,14.4,Top,90,0603_0.1uF
C137,76.6,14.4,Top,90,0603_0.1uF
C138,78.4,14.4,Top,270,0603_0.1uF
C139,80.2,14.4,Top,90,0603_0.1uF
C140,82.0,14.4,Top,180,0603_0.1uF
C141,83.8,14.4,Top,270,0603_0.1uF
C142,85.6,14.4,Top,90,0603_0.1uF
C143,87.4,14.4,Top,90,0603_0.1uF
C144,89.2,14.4,Top,180,0603_0.1uF
