LIGHTRAIL NCE MVP - BILL OF MATERIALS (BOM)
Reference Design Kit (RDK-001) | 10 Unit Run
Generated: 2025-01-20

==============================================
SECTION 1: MAIN PROCESSOR
==============================================

Item | Qty | Reference | Value | Package | Supplier | Part Number | Unit Cost | Total Cost | Lead Time | Notes
-----|-----|-----------|-------|---------|----------|------------|-----------|-----------|-----------|------
1 | 1 | U1 | Xilinx Kintex-7 XC7K420T-2FFG676C | BGA676 | Digikey/Mouser | N/A | $1,200 | $1,200 | 16-24 weeks | CRITICAL PATH - Order immediately! ESD-safe handling required.

==============================================
SECTION 2: POWER MANAGEMENT (Input 5V USB-C)
==============================================

Item | Qty | Reference | Value | Package | Supplier | Part Number | Unit Cost | Total Cost | Lead Time | Notes
-----|-----|-----------|-------|---------|----------|------------|-----------|-----------|-----------|------
2 | 1 | J1 | USB-C Receptacle 24-pin | USB-C | Digikey | 5282710-00-00-F | $0.85 | $0.85 | 1 week | Power + Data connector. Right-angle recommended for enclosure.
3 | 1 | U2 | TPS65250 USB PD Controller | LQFP48 | Digikey | TPS65250RHBT | $3.50 | $3.50 | 2 weeks | Negotiates 100W USB PD for 5V/20A output. Alternative: STUSB4500
4 | 1 | C1 | 100µF/50V Aluminum Electrolytic | 1210 | Digikey | EEE-1FK221AP | $0.45 | $0.45 | 1 week | Input bulk capacitor for USB power. Low ESR recommended.
5 | 4 | C2-C5 | 10µF/10V Ceramic | 0805 | Digikey | GRM31CR61A106KA19L | $0.08 | $0.32 | 1 week | Decoupling caps for USB PD controller
6 | 1 | L1 | 10µH/30A Power Inductor | 1245 | Digikey | SPME7050S100MRB | $1.20 | $1.20 | 2 weeks | Input filter for USB power. Isat >30A.
7 | 2 | U3-U4 | XC9241B 5V→1.8V Buck 30A | QFN36 | Digikey | XC9241B330MR-G | $2.80 | $5.60 | 1 week | FPGA Core power. Two units for redundancy/monitoring.
8 | 2 | U5-U6 | XC9242B 5V→3.3V Buck 20A | QFN36 | Digikey | XC9242B330MR-G | $2.50 | $5.00 | 1 week | FPGA I/O, TIA, Modulator power. Dual for load sharing.
9 | 1 | U7 | NCV4214 5V→12V Boost | LQFP48 | Digikey | NCV4214D50R2G | $1.80 | $1.80 | 1 week | Fan PWM power (12V). For 40mm axial fan.
10 | 8 | L2-L9 | 4.7µH Inductors | 1210 | Digikey | SLF1245B-472MR | $0.50 | $4.00 | 1 week | Output filter inductors for buck converters
11 | 20 | C6-C25 | 22µF/10V Ceramic | 1206 | Digikey | GRM31CR61A226KE19L | $0.12 | $2.40 | 1 week | Bulk capacitors on each power rail. Place near supply pins.
12 | 40 | C26-C65 | 100nF/10V Ceramic | 0402 | Digikey | GRM155R61A104KA01L | $0.02 | $0.80 | 1 week | Decoupling capacitors. One per power pin group. High frequency.
13 | 6 | R1-R6 | 10kΩ 1/4W Resistors | 0603 | Digikey | CRCW060310K0JNEDC | $0.01 | $0.06 | 1 week | Feedback/config resistors for buck converters
14 | 2 | FB1-FB2 | 600Ω Ferrite Bead (2A) | 1206 | Digikey | BLM31PG601SN1L | $0.08 | $0.16 | 1 week | EMI filtering on power rails
15 | 1 | BATT_BAK | Supercap 10F/5.5V | Radial | Digikey | DRC5R5224X7R5TP4 | $4.50 | $4.50 | 2 weeks | Optional: Backup power for graceful shutdown. Low priority for MVP.

POWER MANAGEMENT SUBTOTAL: $29.64

==============================================
SECTION 3: FPGA DECOUPLING & I/O BUFFERS
==============================================

Item | Qty | Reference | Value | Package | Supplier | Part Number | Unit Cost | Total Cost | Lead Time | Notes
-----|-----|-----------|-------|---------|----------|------------|-----------|-----------|-----------|------
16 | 40 | C66-C105 | 100nF/16V Ceramic (X7R) | 0402 | Digikey | GRM155R61A104KA01L | $0.02 | $0.80 | 1 week | Core decoupling capacitors. Critical for signal integrity. Place within 5mm of FPGA BGA pads.
17 | 20 | C106-C125 | 10µF/16V Ceramic | 0603 | Digikey | GRM31CR61A106KA19L | $0.08 | $1.60 | 1 week | Bulk decoupling on core rails. One per voltage island.
18 | 8 | U8-U15 | SN74LVC245A Level Shifter | SOIC20 | Digikey | SN74LVC245ADWR | $0.45 | $3.60 | 1 week | 3.3V ↔ 5V logic translation for USB interface and fan control. Optional if direct 3.3V interface acceptable.
19 | 1 | U16 | FT2232H USB-to-JTAG | BGA100 | Digikey | FT2232HQFNK-RoHS | $8.50 | $8.50 | 2 weeks | Alternative: Xilinx JTAG programmer module. Can purchase as separate debugger module instead.
20 | 8 | R7-R14 | 100Ω Termination Resistors | 0603 | Digikey | CRCW0603100RJNEDC | $0.01 | $0.08 | 1 week | JTAG signal termination
21 | 4 | R15-R18 | 4.7kΩ Pull-up Resistors | 0603 | Digikey | CRCW06034K7JNEC | $0.01 | $0.04 | 1 week | JTAG pull-up on TMS/TDI/TDO

FPGA I/O SUBTOTAL: $14.62

==============================================
SECTION 4: OPTICAL INTERFACE (TIA - Receiver)
==============================================
Note: These are example components. Select based on your optical wavelength (850nm NIR or 1550nm telecom).

Item | Qty | Reference | Value | Package | Supplier | Part Number | Unit Cost | Total Cost | Lead Time | Notes
-----|-----|-----------|-------|---------|----------|------------|-----------|-----------|-----------|------
22 | 8 | U17-U24 | OPA2356 Dual Op-Amp (TIA Core) | SOIC8 | Digikey | OPA2356AIDR | $3.20 | $25.60 | 1 week | High-speed, low-noise TIA amplifier. Bandwidth: 1.4 GHz. GBW: 1.8 GHz. Alternative: LT6268
23 | 8 | U25-U32 | OPA2277 Precision Op-Amp (Comparator Buffer) | SOIC8 | Digikey | OPA2277UA | $1.50 | $12.00 | 1 week | Buffering TIA output to FPGA comparator input
24 | 16 | R19-R34 | 1MΩ TIA Feedback Resistors | 0603 | Digikey | CRCW06031M00JNEDC | $0.05 | $0.80 | 1 week | Sets TIA gain: Gain = Rf = 1MΩ → 100kV/A. Precision metal film required.
