Designator,Description,Manufacturer,MPN,Qty,Footprint
U1,TFLN-MZM-400G-C Modulator Array,LightRail-Optical,LR-TFLN-MZM-400G,1,TFLN_MZM_400G
U2,DFB Laser Source (CW-C-Band),Lumentum,LR-DFB-C-BAND,1,DFB_Laser_U2
U3,Sub-micron Waveguide Routing Core,LightRail-Silicon,LR-OPT-CORE-G3,1,Optical_Core_U3
U4,XPDV4120R High-Speed Photodetector Bank,Finisar,XPDV4120R,1,Detector_Bank_U4
U8,MPT5000 TEC Driver,Melexis,MPT5000,1,TEC_Driver_U8
U9,BCM84881 Controller (FPGA/SerDes),Broadcom,BCM84881,1,BCM84881_BGA
J1,PCIe Gen5 x16 Edge Connector,TE Connectivity,2013289-6,1,PCIe_x16_Edge
MPO1,MPO Input Fiber Array Connector,US Conec,MPO-12-IN,1,MPO_Array
MPO2,MPO Output Fiber Array Connector,US Conec,MPO-12-OUT,1,MPO_Array
C1,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C2,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C3,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C4,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C5,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C6,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C7,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C8,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C9,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C10,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C11,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C12,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C13,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C14,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C15,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C16,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C17,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C18,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C19,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C20,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C21,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C22,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C23,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C24,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C25,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C26,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C27,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C28,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C29,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C30,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C31,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C32,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C33,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C34,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C35,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C36,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C37,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C38,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C39,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C40,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C41,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C42,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C43,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C44,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C45,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C46,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C47,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C48,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C49,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C50,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C51,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C52,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C53,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C54,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C55,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C56,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C57,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C58,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C59,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C60,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C61,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C62,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C63,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C64,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C65,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C66,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C67,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
C68,0603 MLCC 0.1uF 10V X5R,Murata,GRM188R61A104KA01D,1,C_0603_1608Metric
